品质,工作要求,工作要求
"[0, 16, 21]","[40, 39]","[48, 86, 63]"
"[18, 21]",[],[63]
"[3, 4, 21]","[32, 28, 29]",[]
[10],[29],[]
"[4, 21]","[32, 35, 28]",[67]
"[8, 21]","[32, 39, 29, 30, 31]","[82, 63]"
"[0, 12, 21, 23]",[39],"[65, 63]"
"[8, 21]",[29],[86]
"[3, 21, 15]",[29],"[88, 90, 63]"
[21],[],[]
"[0, 21]","[32, 35, 39]",[63]
"[3, 21]","[40, 28, 29, 31]",[44]
"[16, 0, 21]","[40, 29, 38, 39]",[63]
"[3, 15, 16, 20, 21]","[29, 39]","[65, 90]"
[],[28],[]
[21],"[40, 33, 32, 39]","[51, 63]"
[3],[],[65]
[21],[],[]
[],[40],[]
[],[],[]
[21],"[40, 39]",[63]
[4],"[32, 42, 29, 39]",[63]
"[11, 4]",[30],[77]
"[2, 21]","[40, 39, 29, 31]","[90, 82, 63]"
"[20, 4]",[29],[]
[21],[29],[]
"[3, 21]",[31],"[62, 63]"
"[16, 11, 12, 21]","[28, 29, 39]","[64, 90]"
"[0, 2, 3, 4, 11, 12, 16, 21, 26]",[29],[63]
"[4, 21]",[29],"[64, 63]"
"[0, 26, 3, 21]","[40, 29, 31]",[63]
[21],"[30, 39]",[]
"[0, 3, 21]",[],"[82, 84]"
"[0, 2, 4, 11, 16, 21, 26]",[30],[]
"[0, 21]",[29],"[86, 63]"
[3],[],[]
"[0, 4, 16, 21, 23]","[35, 39, 29, 30, 31]",[63]
[4],[39],[90]
"[0, 11, 21]","[32, 28, 29, 30, 31]",[63]
[0],"[32, 39, 28, 29, 30]","[65, 63]"
"[16, 13, 4, 20]",[29],[]
"[4, 21]","[32, 40, 30, 39]",[63]
[21],[],[]
[],[29],[63]
"[8, 21]","[32, 39, 40, 29, 31]",[63]
"[0, 4, 8, 11, 12, 22]","[28, 30, 31]",[]
"[12, 21]","[40, 29, 31]","[66, 63]"
[],"[29, 31]",[]
[],[32],[63]
"[16, 4]","[29, 30]",[]
[],[],[]
[],[29],[63]
[21],[],[63]
[],"[32, 40]","[65, 63]"
"[0, 4, 11, 16, 20]","[28, 29, 30, 31]","[65, 77, 63]"
"[10, 11, 12, 21]","[32, 38, 40, 42, 29, 30]","[90, 63]"
[4],[],[]
"[16, 3, 13]","[40, 28]",[]
"[3, 19, 20]","[32, 29, 39]",[]
[21],"[29, 30, 31]",[63]
"[0, 4, 20, 21, 23]","[29, 31]",[86]
"[21, 23]",[],[63]
"[0, 21]","[29, 38]",[]
"[0, 8, 11, 14, 16]","[28, 39]",[65]
"[16, 2, 11, 15]","[28, 29, 30, 31]",[90]
[21],[32],[63]
"[0, 21]","[32, 38]",[86]
"[0, 26, 3]","[29, 31]",[90]
"[0, 4]","[35, 29, 30, 39]","[67, 63]"
"[4, 21]",[],[]
[],[],[63]
"[0, 3, 21, 6]",[],"[90, 70, 63]"
"[3, 4, 8, 10, 16, 21]","[32, 42, 29, 39]",[57]
"[16, 0, 3, 21]",[],[]
[],[],[]
"[0, 3]",[],[63]
[21],[39],"[86, 63]"
"[25, 11, 4]","[34, 29, 30, 39]","[90, 63]"
"[0, 21, 6]",[29],[63]
[],"[29, 31]",[63]
"[0, 26, 3, 21]","[32, 29, 31]","[65, 63]"
[21],"[28, 39]","[90, 86, 63]"
"[4, 10, 11, 16, 20]",[30],[83]
"[0, 4, 21]",[],"[90, 63]"
"[0, 8]","[29, 39]","[48, 86]"
"[8, 3, 12, 21]","[40, 31, 39]","[90, 86, 63]"
"[0, 3, 4, 10, 12]","[39, 40, 28, 29, 30, 31]",[63]
[12],"[40, 42, 29, 39]","[90, 63]"
"[4, 21]","[29, 39]",[63]
"[16, 3, 21]","[40, 39]",[63]
"[10, 3]","[29, 30]",[63]
"[16, 4, 21]",[28],[]
"[16, 0, 11, 13]",[30],[90]
"[4, 21]","[32, 39, 40, 28, 29]",[63]
"[20, 23, 15]",[29],[63]
[21],[40],[]
[],"[35, 29]","[90, 63]"
"[0, 8, 26, 21]","[42, 29, 38, 39]",[63]
[21],"[33, 39]","[64, 63]"
[21],[],[63]
"[0, 3, 21]",[29],[]
"[0, 3]","[32, 29, 31]",[63]
"[26, 3, 12]","[40, 30]",[63]
[21],[],"[89, 63]"
"[0, 3, 20]",[],[64]
[],[],[]
[0],[29],[90]
"[0, 8, 6]","[32, 38, 39, 28, 29]",[63]
[11],"[29, 39]",[]
[21],"[35, 29, 31]",[]
[4],"[28, 29, 38, 31]",[63]
"[4, 21, 23]",[],[63]
"[4, 12, 21]","[32, 39, 28, 29, 31]","[64, 65]"
"[10, 11, 12, 21]","[38, 42, 29, 30]","[81, 63]"
"[16, 20, 13]","[28, 29, 30]",[64]
"[0, 21]",[],[63]
[16],"[28, 29, 30]",[86]
[],[29],[63]
"[16, 0]",[],[63]
"[0, 21]","[29, 39]","[64, 90, 63]"
[21],[32],[63]
[],[],[63]
[21],"[31, 29, 38, 39]",[63]
"[4, 21]","[42, 28, 29, 39]",[63]
"[0, 8, 12, 13, 16, 21]","[40, 28, 29, 39]","[65, 63]"
[21],"[32, 40, 31]",[63]
"[8, 0, 21]",[29],"[90, 63]"
[],[39],[63]
[21],"[32, 33, 29, 39]",[63]
[21],[],"[65, 63]"
"[3, 21]",[39],"[74, 63]"
"[0, 26, 3]",[],"[90, 63]"
"[8, 0, 4]","[28, 29, 38]",[]
"[3, 4, 21]","[40, 29]",[63]
"[8, 21]",[29],[90]
[23],"[39, 29, 31]",[90]
[21],"[29, 28, 31, 39]",[63]
"[0, 13, 21]","[40, 29, 38]","[90, 63]"
[],[],[63]
"[10, 11, 15]","[35, 42, 28, 29, 30]",[]
[],[],[]
"[13, 20, 4, 21]",[29],[90]
"[13, 3, 21]","[32, 29, 30]",[63]
"[11, 4]","[28, 29, 30]",[64]
"[0, 3, 4, 6, 26]","[29, 30]","[90, 63]"
"[0, 8, 11, 20, 21]","[29, 30]",[64]
"[26, 3, 21]",[],[90]
"[0, 10]","[32, 33, 29]","[90, 63]"
[],[],[86]
"[0, 26, 4, 21]",[35],[63]
"[0, 26, 21]","[29, 31]",[63]
[21],[],"[67, 63]"
[21],[],[]
"[0, 3, 11, 16, 18, 21, 26]",[29],"[90, 63]"
[],"[31, 29, 39]",[63]
"[0, 23]","[29, 30]",[86]
[21],"[39, 42, 28, 29, 31]",[63]
[0],"[29, 31]","[90, 63]"
[21],"[32, 33, 35, 28, 29]","[68, 63]"
"[0, 26, 3, 21]",[],"[90, 63]"
"[0, 12, 21]","[29, 39]","[90, 63]"
"[4, 21]",[],[]
[0],"[29, 38, 31]",[]
[21],"[40, 33, 39]",[63]
"[0, 4, 21, 23]",[28],[]
"[11, 20, 21]",[],[]
"[0, 8, 12, 14, 21]",[],"[81, 82, 83, 84]"
"[3, 21]","[40, 28, 29]",[64]
"[16, 4, 21]","[32, 40, 39]","[68, 63]"
"[0, 26, 3]",[29],"[88, 90]"
[],[],[63]
[10],"[40, 29, 31]",[63]
[21],[],[90]
[21],[39],"[68, 63]"
"[0, 3, 6]",[],[]
"[8, 21]","[33, 39, 40, 29, 31]",[63]
"[16, 21, 15]",[],"[64, 90]"
[21],[],[63]
[21],"[29, 30]",[63]
[21],"[40, 33, 29]",[]
[],[39],"[90, 68, 63]"
"[0, 3, 4, 21]","[32, 39, 40, 28, 29, 31]",[]
"[0, 3, 21]","[32, 30]",[]
"[0, 4, 11, 12, 16, 26]","[40, 35, 29, 31]",[63]
[21],[],[]
"[8, 3, 21]",[],[63]
"[10, 2]","[28, 31]",[64]
"[26, 3, 20]","[40, 32, 29]","[90, 63]"
[21],"[32, 39]",[63]
"[16, 21]",[28],[]
"[2, 18, 21]",[29],[90]
[],"[40, 32]",[63]
[],[],[63]
"[0, 16, 11, 20]","[28, 29, 31]",[77]
"[2, 4, 21]","[29, 39]","[65, 90, 67]"
"[0, 16, 20, 4]",[32],[]
[],[],[]
"[16, 0, 10, 21]","[28, 29, 30]",[90]
"[13, 12, 21, 15]","[32, 29, 38, 31]",[]
"[0, 3, 12, 21]",[29],"[90, 63]"
"[3, 21]",[],"[90, 63]"
"[16, 3, 4, 21]","[32, 29, 31]",[63]
"[0, 21]","[29, 30]","[65, 63]"
"[16, 8, 3, 21]","[40, 35, 29]","[81, 90, 85, 63]"
"[27, 21, 14]","[29, 39, 31]","[65, 90, 62, 63]"
[],"[28, 29]",[63]
"[0, 26, 3, 21]",[29],[63]
"[10, 11, 22]","[32, 35, 28, 29, 30]",[64]
[],"[32, 29]",[63]
[21],"[28, 39]",[63]
[3],[28],[]
"[4, 21]",[],[63]
"[0, 18, 15]","[40, 28, 31]","[90, 63]"
[4],[40],[]
"[0, 16, 2, 21]","[29, 38, 39]","[90, 63]"
"[0, 2, 3, 8, 26]","[29, 39]",[63]
"[26, 3, 4, 21]",[40],"[64, 90]"
"[21, 23]",[35],[]
"[4, 21]","[32, 35, 39, 29, 31]",[]
"[16, 21, 6]",[32],[63]
"[11, 3]","[32, 40, 29]","[65, 63]"
"[0, 3, 21]","[32, 30]",[]
[8],"[30, 39]",[64]
"[26, 3, 21]","[29, 30]",[63]
"[3, 2, 26, 21]",[29],[]
"[24, 0, 21]",[],"[65, 63]"
"[12, 21]",[28],[64]
"[3, 8, 12, 13, 14, 16, 21]","[40, 35, 29]",[90]
"[0, 3, 11, 20, 21, 26]",[29],"[64, 90]"
"[0, 26, 3, 21]",[],[63]
[21],[],[63]
[21],"[30, 39]",[]
[18],[31],[]
[],[],[]
"[26, 3, 12, 21]",[29],"[81, 90, 63]"
"[0, 3, 12]",[],[88]
"[16, 3, 21]",[40],"[81, 82, 83, 84, 63]"
"[16, 12, 4, 21]","[28, 29, 30, 31]",[]
[],"[32, 29, 39]",[63]
[21],"[40, 39]",[63]
"[0, 16, 11]","[35, 28, 29, 30]",[64]
"[18, 11, 4, 21]","[32, 40, 28, 29]","[64, 63]"
"[12, 21, 23]","[32, 39, 28, 29, 31]",[]
"[0, 21]","[35, 29, 31]",[]
[],[],[63]
[21],[],[63]
[],[],[]
[],"[40, 35, 28, 39]",[63]
[21],"[32, 33, 30]",[64]
"[16, 27, 4, 21]","[32, 28, 30, 31]","[64, 66]"
"[8, 0, 3, 21]",[28],"[81, 84, 85]"
"[3, 4]","[40, 28, 29]",[63]
[],[],[]
[0],"[35, 28, 31]",[]
"[0, 21]","[29, 38]",[]
"[0, 4, 16, 20, 21]","[32, 29]","[90, 67, 63]"
[],[],[63]
"[3, 4, 21]","[29, 30]",[]
"[4, 10, 11, 16, 21]","[32, 35, 29, 31]","[64, 65]"
"[0, 4, 8, 16, 21, 23]",[31],"[65, 67, 74, 90, 63]"
"[8, 12, 21, 14]",[40],[]
"[4, 11, 15, 16, 22]",[28],[64]
[21],"[40, 42]",[63]
[],"[29, 30]",[]
"[17, 12, 21]","[29, 30, 31]","[90, 63]"
[],[39],[]
"[26, 2, 21]","[35, 40, 29, 30, 31]",[90]
"[0, 23]","[32, 40, 28, 29, 30]",[65]
[21],[40],[63]
"[0, 3, 4]","[29, 31]",[63]
"[16, 4]",[30],[]
[0],[40],[]
"[4, 21]","[42, 28, 29, 39]",[63]
"[0, 11, 13, 14, 20, 21]","[40, 28, 29]",[63]
[21],[],[63]
"[8, 0, 13, 21]","[32, 29, 38, 39]",[63]
"[11, 21]",[29],[]
[],[],[]
[],[29],[86]
[21],"[29, 39]",[63]
"[0, 3, 8, 21, 26]","[28, 29, 30]","[90, 63]"
[],[],[]
[16],"[28, 31]",[63]
[21],"[32, 39]",[63]
[21],"[29, 39]",[63]
"[4, 21]","[35, 28, 29]",[63]
[21],[],[]
"[4, 21]","[28, 29, 38, 31]",[]
"[0, 3, 4, 6, 10, 16]","[29, 30, 31]",[90]
"[11, 21]","[28, 29, 31]",[65]
"[0, 8, 11, 20, 21]","[40, 29, 30]","[64, 84]"
"[2, 11, 21]","[29, 30, 39]","[90, 63]"
[],"[32, 33, 40, 42, 29]","[65, 63]"
"[0, 12, 14]","[28, 29, 30, 31]",[64]
"[0, 3, 12]",[39],"[88, 63]"
[21],"[32, 35, 29, 30]",[63]
"[13, 21]",[32],[]
[21],[29],[64]
"[0, 3, 4, 6, 21]",[30],"[90, 70, 63]"
[21],[32],[]
[21],[],"[83, 63]"
"[0, 3, 4, 6, 21]",[],[63]
[26],"[31, 29, 39]","[65, 90, 63]"
"[0, 16, 11, 21]","[35, 29, 30, 31]",[64]
"[21, 23]","[32, 39, 29, 31]","[65, 90, 63]"
"[16, 3, 21]",[],[63]
[4],"[32, 35]",[67]
[21],[33],"[65, 63]"
[10],"[33, 40, 42, 29, 30, 31]","[90, 63]"
[4],"[32, 28, 29]",[]
"[4, 21]","[32, 29]",[63]
"[0, 3, 6]","[40, 29, 39]",[90]
[21],[39],[63]
"[16, 4]","[40, 28, 29]",[]
"[3, 4, 21]","[32, 35]",[]
[21],[40],[63]
"[16, 3, 21]","[28, 39]","[64, 90]"
"[0, 11]",[29],[63]
"[0, 4, 10, 11, 21]","[29, 30]","[64, 63]"
"[0, 3, 4, 8, 21, 26]","[39, 29, 31]",[90]
"[8, 3, 21]","[29, 39]",[63]
[],[],[]
"[16, 3, 21]","[40, 39]","[90, 63]"
"[0, 3, 21]",[],"[88, 90]"
[],"[40, 39]",[63]
"[16, 18, 4]","[29, 30]",[63]
"[3, 21]","[32, 40]",[]
"[4, 11, 13, 15, 18]","[33, 35, 39, 28, 29]","[67, 63]"
[21],"[29, 39]","[74, 63]"
[],"[28, 29]",[]
[4],"[32, 39, 29, 30, 31]","[65, 67, 63]"
"[3, 4]","[28, 29]",[63]
[21],"[40, 39]",[63]
"[26, 2, 3, 21]",[29],[]
"[26, 3, 21]","[29, 31]","[90, 63]"
"[4, 21]","[29, 30, 31]","[65, 63]"
"[0, 3, 4, 10, 11, 12, 16, 21]","[28, 29, 31]",[63]
"[0, 3, 21]","[40, 42, 29, 39]","[88, 90, 86, 63]"
"[0, 8, 11, 20, 21]","[40, 29, 30]","[64, 84]"
"[0, 21]","[32, 29, 31]",[]
"[0, 21]","[40, 39]",[63]
[21],[],[]
[4],"[39, 31]",[]
[0],[29],"[90, 63]"
"[0, 21]","[29, 39]","[90, 63]"
"[8, 4]",[40],"[48, 86]"
"[0, 4]","[32, 29]","[67, 62]"
"[0, 18, 11, 12]","[35, 29, 31]",[64]
"[0, 2, 3, 12, 21, 26]","[42, 29, 39]","[82, 90, 63]"
[],"[32, 39, 28, 29, 30]",[]
"[16, 8, 21, 0]","[29, 31]",[]
"[4, 21]","[29, 39]","[64, 65, 63]"
"[8, 4, 12, 21]","[29, 31]","[90, 63]"
[4],[32],[86]
[21],"[39, 29, 30, 31]","[64, 63]"
[],"[32, 29]",[90]
"[26, 3, 21, 15]","[32, 33, 38, 29, 31]",[]
[],"[31, 29, 30, 39]",[63]
[21],"[32, 28]","[67, 63]"
[],"[30, 39]",[]
"[11, 4]","[28, 30]","[77, 63]"
"[4, 21]","[31, 39]",[63]
"[4, 21]","[35, 29]",[67]
"[0, 21]","[35, 29]",[]
[14],[],[]
[12],[],"[65, 63]"
"[4, 15]",[40],"[68, 63]"
"[20, 21]","[35, 28, 29, 39]",[65]
"[4, 15, 16, 20, 21]",[31],[]
[13],[29],[63]
"[0, 4, 16, 21, 26]",[35],[]
"[3, 13, 14, 16, 21]","[29, 31]",[]
"[4, 12]",[],[65]
"[8, 6]","[35, 29, 39]",[]
"[8, 21]",[29],[90]
"[16, 4, 14]","[32, 29, 30]",[]
"[0, 3, 4, 6, 18, 21]",[],[90]
[],"[29, 30, 39]",[63]
[0],[29],[]
[21],[39],[]
"[1, 2, 6, 13, 21, 26]",[],"[90, 63]"
"[0, 8, 12, 21]","[40, 32]",[63]
"[0, 3, 21]","[32, 40, 35]",[63]
"[13, 4, 20]","[32, 33, 29]",[63]
"[3, 8, 12, 21, 26]",[29],"[90, 68, 63]"
"[0, 3, 12, 16, 23]","[32, 33, 39, 40, 29, 30]","[57, 63]"
[21],"[35, 29, 39]","[85, 63]"
[],"[29, 30]",[63]
"[3, 21]",[],"[90, 63]"
[21],"[32, 40, 39]",[63]
"[4, 21, 6]","[40, 29, 30, 39]","[64, 90, 51, 63]"
"[0, 11, 20, 21]","[40, 28, 29]","[90, 63]"
[],"[28, 29]",[]
[21],"[31, 29, 30, 39]",[90]
"[0, 21]","[33, 39, 40, 29, 30]","[90, 63]"
"[16, 21]","[32, 39]",[63]
"[11, 10, 3, 21]","[28, 30]","[83, 63]"
"[0, 13, 3, 21]","[29, 30, 31]",[]
"[16, 10, 4, 6]","[29, 30, 39]",[63]
[],[],[]
[21],[39],[63]
"[16, 3, 4, 21]",[],[63]
"[10, 21]","[32, 33, 29, 39]","[90, 63]"
[],[],[63]
"[8, 10, 13]",[29],[]
"[0, 3, 21, 6]",[],"[90, 70, 63]"
[21],[],[63]
"[0, 21]","[40, 28]","[81, 82, 84, 85]"
[],[29],"[65, 63]"
"[0, 11, 20]","[29, 30, 39]",[63]
[21],[32],"[74, 63]"
"[0, 2, 21]",[],"[65, 63]"
"[0, 26, 3, 21]","[32, 40, 29, 39]",[63]
"[0, 17, 21]","[40, 33, 42, 39]",[63]
"[4, 21]","[32, 39]",[90]
[21],[],"[68, 63]"
"[11, 4, 20]",[32],[]
"[0, 4, 10, 11, 16, 20, 21]","[28, 29, 30, 39]","[90, 63]"
"[0, 4, 11, 16, 21]","[32, 33, 35, 39, 40]","[90, 63]"
"[4, 11, 13, 14, 15, 20]","[35, 40, 28, 30, 31]","[64, 89, 90, 63]"
"[11, 1, 3, 21]","[33, 39, 40, 42, 28, 29]","[90, 63]"
"[20, 21]","[32, 29]",[90]
"[0, 3, 21]",[],[90]
"[3, 21]",[],"[90, 63]"
"[0, 3, 4, 16, 21]","[32, 28, 29]",[]
"[2, 26, 21]",[29],[63]
"[0, 2, 3, 6, 21, 23]","[40, 32, 29, 31]",[63]
"[3, 21]",[29],[]
"[8, 4, 21]","[40, 32, 35, 39]",[]
"[0, 3, 21]",[],[63]
"[3, 21]","[29, 31]","[74, 63]"
[],"[32, 33]",[63]
[],"[29, 39]","[90, 63]"
[21],[29],[90]
[21],[32],[63]
"[0, 21]",[28],"[81, 82, 83, 84, 85]"
"[8, 11, 12, 16, 21]","[35, 28, 29]","[64, 63]"
[13],"[35, 28, 29, 31]",[]
[21],"[40, 29]",[63]
"[11, 4, 21]","[32, 35, 28, 29]",[64]
"[8, 0, 4]","[40, 42, 28, 29]",[]
"[9, 4, 21]",[29],[]
[],[],[63]
[21],[],[63]
"[0, 12, 14]","[40, 29]",[]
[],[32],[63]
[4],"[32, 28]",[64]
"[8, 3, 21]",[],[]
[4],"[32, 28, 29]",[77]
"[3, 10, 13, 16, 21]","[35, 28, 29, 30, 31]",[64]
"[0, 26, 21]",[29],[]
[21],[40],[]
[21],[],"[90, 86, 63]"
"[16, 4]",[28],[90]
[21],[39],[63]
[21],"[39, 40, 29, 30, 31]",[]
"[16, 26, 4, 13]",[],[86]
"[0, 16, 26]","[28, 29]","[90, 63]"
[],[],[63]
"[16, 3, 4, 21]","[40, 32, 29, 31]",[63]
"[0, 3, 6, 16, 21, 26]",[],[63]
[21],[],[]
"[4, 21]","[29, 30]",[63]
"[3, 21]","[42, 29, 39]",[90]
"[0, 11, 21]",[39],[]
"[0, 3, 21]","[32, 38]",[]
[21],"[32, 39, 28, 29, 31]","[90, 63]"
[],[29],[]
[21],[32],"[64, 63]"
[21],[32],[63]
"[0, 2, 10, 12, 16, 21, 26]","[32, 39, 40, 29, 31]",[63]
"[3, 4, 21]","[40, 28, 29, 39]",[63]
[],[],[]
"[0, 3, 4, 12, 16, 26]","[42, 28, 29, 31]","[65, 87, 88, 90, 63]"
"[0, 3, 21]","[29, 30, 31]",[67]
"[4, 21]",[],[]
"[0, 3, 4, 12, 16, 21, 26]","[30, 31]",[90]
"[8, 21]",[39],[]
"[4, 21]","[28, 39]",[83]
"[16, 13, 21]","[29, 39]",[63]
"[0, 26, 4, 21]",[35],[]
"[0, 8, 2, 21]","[31, 29, 30, 39]",[63]
"[26, 21]","[40, 28]","[81, 84, 85]"
"[0, 3, 21]",[29],[]
[21],"[28, 29]","[90, 63]"
"[0, 10, 6, 7]","[33, 28]",[63]
"[0, 21]",[40],"[81, 63]"
"[0, 3, 6, 11, 21]","[40, 29]",[63]
[],"[40, 29]",[]
"[0, 26, 21]","[29, 31]","[65, 63]"
[],"[40, 29]",[81]
"[21, 22]",[40],"[83, 63]"
"[16, 21]","[32, 39, 29, 31]",[65]
[21],"[40, 33]","[81, 82, 84, 63]"
"[11, 4, 13]",[29],[77]
"[27, 16, 3, 4]",[28],[]
"[0, 21]","[29, 39]","[90, 63]"
"[0, 4, 8, 11, 12, 16, 18, 23]","[31, 29, 39]",[63]
[21],[39],[63]
"[0, 21]","[32, 29]",[64]
"[0, 2, 11]",[29],[63]
[18],[29],"[65, 90]"
[1],"[28, 29, 39]",[90]
[21],"[40, 28, 39]",[63]
"[0, 21]","[32, 28, 29, 31]","[65, 63]"
[21],"[40, 31, 39]","[65, 63]"
[21],"[29, 39]",[63]
[21],[],"[90, 86]"
[21],[39],"[57, 63]"
"[0, 3, 12, 21]","[35, 29, 39]",[]
"[0, 26, 3, 21]","[40, 29, 30]","[90, 63]"
"[0, 21]",[39],"[48, 86, 63]"
[],[],[]
"[8, 4, 21]","[32, 35, 39, 40, 29, 31]","[90, 63]"
[21],"[32, 28, 29, 31]","[65, 63]"
"[21, 15]","[29, 30, 39]","[86, 63]"
"[0, 3, 11, 12, 16, 21]","[32, 29, 38, 39]","[90, 63]"
"[0, 13, 4, 21]","[35, 29, 31]","[90, 63]"
"[0, 3, 4, 8, 12, 26]",[30],"[48, 86, 63]"
"[0, 1]",[],[63]
"[0, 21]","[29, 31]","[90, 86]"
"[6, 21, 14, 23]","[32, 29, 30, 39]",[63]
"[0, 26, 12]",[29],[63]
"[0, 21]",[39],[63]
[],"[40, 32, 29]",[63]
"[11, 20, 21]","[28, 30]",[]
"[26, 3, 23]","[35, 39, 40, 29, 31]","[48, 63]"
"[27, 4, 12]","[28, 29, 31]","[82, 63]"
"[0, 4, 10, 13, 16]",[29],[]
"[0, 3, 6, 16, 21]","[40, 29, 30]",[63]
"[8, 11]",[],[]
"[21, 23]","[32, 28, 29, 30]","[65, 63]"
"[16, 3, 4]","[29, 31]",[63]
[21],"[29, 39]",[63]
"[0, 10, 21]","[35, 38, 40, 29, 30]","[85, 63]"
[0],[28],[85]
"[0, 21]","[32, 29, 30, 31]",[57]
[21],[],[64]
"[0, 8, 11, 20, 21]","[29, 30]",[64]
"[0, 3, 11, 20, 21, 26]",[29],"[65, 90]"
"[0, 3, 6, 20, 21]",[],"[90, 63]"
"[0, 3, 21]","[40, 28]","[57, 63]"
"[13, 20, 21]","[40, 29, 39]","[90, 63]"
"[14, 15]",[],[63]
"[0, 21]","[31, 39]","[48, 63]"
[21],"[28, 29]","[67, 63]"
"[0, 11, 4, 21]","[31, 39]","[65, 63]"
[],[36],"[64, 63]"
[21],[],[62]
[21],"[40, 33, 29, 39]","[65, 63]"
"[16, 3, 4, 21]","[32, 29, 31]",[63]
"[21, 23]","[32, 29]","[90, 67, 63]"
[21],"[29, 28, 31, 39]",[63]
[21],[],[]
[21],"[29, 39]",[63]
"[4, 21, 23]","[29, 31]",[]
[],[],[63]
"[16, 3, 21]","[38, 29, 30]",[]
"[0, 16, 21]","[29, 30, 31]",[]
"[0, 3, 12]",[],[88]
"[16, 3, 4]","[32, 29, 31]",[63]
[],[39],[63]
"[26, 3, 12, 21]",[40],[90]
[21],"[32, 42, 29, 38]",[]
"[0, 2, 26, 21]",[29],[90]
"[0, 21]","[40, 31, 29, 39]",[63]
"[16, 0]",[],[]
"[25, 21]","[29, 30]","[90, 68, 63]"
[2],"[32, 42, 28, 29]",[63]
"[16, 21, 23]","[40, 28, 29, 39]","[65, 63]"
"[0, 21]","[32, 33, 38, 40, 29, 30]",[63]
"[3, 12, 21]","[30, 39]",[]
[26],[],[]
"[8, 0, 2, 4]","[29, 30, 31]","[64, 90]"
"[4, 13, 16, 20, 21, 26]","[29, 39]",[63]
[21],[39],[]
"[2, 21]","[40, 29, 39]","[65, 90]"
"[0, 2, 3, 16, 21]",[28],"[82, 63]"
"[8, 3, 4, 21]",[],[]
"[4, 21]",[],[63]
"[0, 3, 4, 13]","[40, 29, 39]","[65, 90, 63]"
"[13, 20, 21]","[40, 29, 39]","[90, 63]"
"[0, 21]",[28],[63]
"[0, 21, 14, 23]","[28, 39]",[63]
[21],"[40, 39]",[]
[16],"[28, 29, 31]","[90, 63]"
"[3, 4, 21]","[42, 28, 29]","[64, 65, 90]"
[21],[39],[63]
"[4, 21, 23]","[32, 35, 39, 42, 29, 31]","[57, 63]"
"[8, 4, 21]",[28],[86]
"[4, 11, 14, 20, 22]","[28, 29]",[]
"[26, 21]","[40, 32, 29, 31]","[90, 63]"
"[3, 6, 18, 20, 21]","[40, 28]",[]
"[8, 21]",[29],[90]
[],"[40, 42, 29, 39]","[81, 90, 63]"
"[4, 21]",[39],"[74, 63]"
[],"[32, 28, 29, 30]","[51, 67, 63]"
"[3, 21]","[40, 33, 28, 39]",[63]
"[8, 3, 4, 21]",[28],[]
[21],"[32, 38, 39, 28, 29]","[90, 63]"
"[16, 21]","[32, 38, 40, 29, 31]","[90, 63]"
[8],"[28, 29]",[]
"[4, 21]","[35, 39, 28, 29, 30]",[]
[],[29],[63]
[21],"[32, 29, 30, 39]",[90]
"[0, 8, 21]","[28, 29]",[63]
[],[39],[63]
"[16, 3, 4]","[29, 31]",[]
"[18, 3, 21]",[],"[68, 63]"
[],[],[63]
"[0, 3, 20, 21, 26]","[40, 28]","[64, 68, 63]"
"[3, 4, 16, 18, 21]","[32, 39, 29, 31]","[90, 63]"
[21],"[32, 33, 40, 29]",[63]
"[8, 16, 4, 14]",[29],[]
"[0, 3, 21, 14]","[40, 31, 39]","[48, 86, 63]"
"[4, 8, 14, 16, 21]",[29],[]
"[16, 11, 4, 21]",[29],[63]
"[0, 26, 3, 21]","[28, 39, 31]",[63]
"[11, 21]","[40, 28, 29]","[64, 90, 63]"
"[10, 4]","[28, 29]","[64, 63]"
"[16, 21]","[32, 29]","[82, 86, 63]"
[21],"[35, 29]",[]
"[0, 21]",[29],"[83, 63]"
"[16, 4, 21]","[40, 29, 39]","[90, 63]"
"[0, 26, 4, 21]",[35],[88]
"[2, 3, 12, 21]","[32, 29, 38, 39]","[90, 86]"
[21],[28],"[83, 63]"
"[0, 2]",[],"[90, 63]"
"[0, 26, 2, 3]",[29],[]
"[26, 3, 12, 21]","[40, 29]",[63]
[21],"[29, 39]",[63]
"[0, 3, 4, 8, 21, 23, 26]","[40, 35, 29]","[65, 90, 63]"
"[13, 21]","[41, 42, 39, 31]",[63]
"[10, 21, 15]","[30, 31]",[65]
"[8, 26, 3, 12]","[32, 42, 29, 39]",[63]
"[8, 3, 21]","[35, 29]",[63]
"[16, 3, 4]","[29, 39]",[63]
"[3, 6, 8, 14, 15, 16, 21, 26]","[28, 29, 39]",[63]
"[8, 4, 21]",[],[]
"[4, 13]","[35, 28, 29, 31]","[65, 63]"
"[0, 11, 21]","[31, 28, 29, 39]","[90, 63]"
[21],[31],[63]
"[13, 21, 23]","[32, 38, 39, 42, 28]",[63]
"[8, 21]",[29],[90]
"[11, 21]","[32, 28, 29, 30]",[]
"[0, 21]",[],[65]
[21],[],"[90, 63]"
"[21, 23]","[28, 29]",[63]
[23],[30],"[88, 57, 90, 87]"
[21],[],[86]
"[0, 1, 4, 13, 20]","[28, 29]","[64, 90, 63]"
"[0, 4, 10, 13, 16]",[29],[]
"[0, 11, 12]","[35, 31, 29, 39]",[64]
"[0, 3, 4, 16, 21]",[],[63]
